2025-06-14 18:33:49.205 | INFO     | __main__:obter_dados_historicos_yahoo:103 - JBSS3.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:49.209 | INFO     | __main__:obter_dados_historicos_yahoo:121 - JBSS3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:49.212 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para JBSS3.SA
2025-06-14 18:33:52.595 | INFO     | __main__:obter_dados_historicos_yahoo:103 - KLBN11.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:52.599 | INFO     | __main__:obter_dados_historicos_yahoo:121 - KLBN11.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:52.604 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para KLBN11.SA
2025-06-14 18:33:56.667 | INFO     | __main__:obter_dados_historicos_yahoo:103 - RENT3.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:56.670 | INFO     | __main__:obter_dados_historicos_yahoo:121 - RENT3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:56.673 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para RENT3.SA
2025-06-14 18:34:00.562 | INFO     | __main__:obter_dados_historicos_yahoo:103 - LREN3.SA - Registros brutos recebidos: 2487
2025-06-14 18:34:00.566 | INFO     | __main__:obter_dados_historicos_yahoo:121 - LREN3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:34:00.570 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para LREN3.SA
2025-06-14 18:34:04.470 | INFO     | __main__:obter_dados_historicos_yahoo:103 - LWSA3.SA - Registros brutos recebidos: 1331
2025-06-14 18:34:04.473 | INFO     | __main__:obter_dados_historicos_yahoo:121 - LWSA3.SA - Registros válidos após limpeza e corte até ontem: 1331
2025-06-14 18:34:04.476 | INFO     | __main__:<module>:221 - Atualizados 1331 registros para LWSA3.SA
2025-06-14 18:34:08.081 | INFO     | __main__:obter_dados_historicos_yahoo:103 - MGLU3.SA - Registros brutos recebidos: 2487
2025-06-14 18:34:08.086 | INFO     | __main__:obter_dados_historicos_yahoo:121 - MGLU3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:34:08.091 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para MGLU3.SA
2025-06-14 18:34:11.847 | INFO     | __main__:obter_dados_historicos_yahoo:103 - POMO4.SA - Registros brutos recebidos: 2487
2025-06-14 18:34:11.850 | INFO     | __main__:obter_dados_historicos_yahoo:121 - POMO4.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:34:11.853 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para POMO4.SA
2025-06-14 18:34:15.271 | INFO     | __main__:obter_dados_historicos_yahoo:103 - MRFG3.SA - Registros brutos recebidos: 2487
2025-06-14 18:34:15.275 | INFO     | __main__:obter_dados_historicos_yahoo:121 - MRFG3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:34:15.278 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para MRFG3.SA
2025-06-14 18:34:18.837 | INFO     | __main__:obter_dados_historicos_yahoo:103 - BEEF3.SA - Registros brutos recebidos: 2487
2025-06-14 18:34:18.841 | INFO     | __main__:obter_dados_historicos_yahoo:121 - BEEF3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:34:18.843 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para BEEF3.SA
2025-06-14 18:34:22.862 | INFO     | __main__:obter_dados_historicos_yahoo:103 - MRVE3.SA - Registros brutos recebidos: 2487
2025-06-14 18:34:22.866 | INFO     | __main__:obter_dados_historicos_yahoo:121 - MRVE3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:34:22.868 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para MRVE3.SA
